0.8|9|10|0|49|11|0.5|0.5|0|2
0.8888888888888888|9|9|0|49|11|0.5|0.5|0|2
0.8|9|10|0|49|11|0.5|0.5|0|2
0.8571428571428572|7|7|0|27|17|0.3333333333333333|0.6666666666666667|0|3
0.8571428571428572|7|7|0|27|22|0.25|0.75|1|4
0.8|9|10|0|52|11|0.5|0.5|0|2
0.8|9|10|0|50|11|0.5|0.5|0|2
0.8|9|10|0|52|11|0.5|0.5|0|2
0.875|8|8|0|42|15|1.0|0.0|0|2
0.875|8|8|0|42|14|1.0|0.0|0|2
0.875|8|8|0|42|15|1.0|0.0|0|2
0.875|8|8|0|42|14|1.0|0.0|0|2
0.8333333333333334|11|12|0|116|15|0.5|0.5|0|2
0.9090909090909091|11|11|0|95|15|0.5|0.5|0|2
0.9090909090909091|11|11|0|83|15|0.5|0.5|0|2
